Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
1,UCX6OQ3DkcsbYNE6H8uQQuVA,UCX6OQ3DkcsbYNE6H8uQQuVA,332000000,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
2,tseries,tseries,279000000,https://www.youtube.com/@tseries
3,checkgate,checkgate,186000000,https://www.youtube.com/@checkgate
4,setindia,setindia,179000000,https://www.youtube.com/@setindia
5,UCvlE5gTbOvjiolFlEm-c_Ow,UCvlE5gTbOvjiolFlEm-c_Ow,128000000,https://www.youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
6,UCk8GzjMOrta8yxDcKfylJYw,UCk8GzjMOrta8yxDcKfylJYw,128000000,https://www.youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
7,UCJplp5SjeGSdVdwsfb9Q7lQ,UCJplp5SjeGSdVdwsfb9Q7lQ,123000000,https://www.youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,zeemusiccompany,zeemusiccompany,112000000,https://www.youtube.com/@zeemusiccompany
9,pewdiepie,pewdiepie,110000000,https://www.youtube.com/@pewdiepie
10,wwefannation,wwefannation,105000000,https://www.youtube.com/@wwefannation
11,goldminestelefilms,goldminestelefilms,101000000,https://www.youtube.com/@goldminestelefilms
12,UCbp9MyKCTEww4CxEzc_Tp0Q,UCbp9MyKCTEww4CxEzc_Tp0Q,99300000,https://www.youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q
13,sabtv,sabtv,97300000,https://www.youtube.com/@sabtv
14,UCOmHUn--16B90oW2L6FRR3A,UCOmHUn--16B90oW2L6FRR3A,95200000,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
15,thechuchutv,thechuchutv,94100000,https://www.youtube.com/@thechuchutv
16,zeetv,zeetv,85800000,https://www.youtube.com/@zeetv
17,UC295-Dw_tDNtZXFeAPAW6Aw,UC295-Dw_tDNtZXFeAPAW6Aw,81100000,https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
18,BANGTANTV,BANGTANTV,79300000,https://www.youtube.com/@BANGTANTV
19,SmartBooksMedia,SmartBooksMedia,79000000,https://www.youtube.com/@SmartBooksMedia
20,colorstv,colorstv,77300000,https://www.youtube.com/@colorstv
21,ibighit,ibighit,76100000,https://www.youtube.com/@ibighit
22,kidrauhl,kidrauhl,74300000,https://www.youtube.com/@kidrauhl
23,tseriesbhakti,tseriesbhakti,72300000,https://www.youtube.com/@tseriesbhakti
24,2tsySbe9TNrI-xh2lximHA,2tsySbe9TNrI-xh2lximHA,70700000,https://www.youtube.com/@2tsySbe9TNrI-xh2lximHA
25,UCiVs2pnGW5mLIc1jS2nxhjg,UCiVs2pnGW5mLIc1jS2nxhjg,70600000,https://www.youtube.com/channel/UCiVs2pnGW5mLIc1jS2nxhjg
26,tipsmusic,tipsmusic,70600000,https://www.youtube.com/@tipsmusic
27,filmigaane,filmigaane,70100000,https://www.youtube.com/@filmigaane
28,UCtxD0x6AuNNqdXO9Wp5GHew,UCtxD0x6AuNNqdXO9Wp5GHew,69600000,https://www.youtube.com/channel/UCtxD0x6AuNNqdXO9Wp5GHew
29,aajtaktv,aajtaktv,68400000,https://www.youtube.com/@aajtaktv
30,UCrnQFuUabBHaw-BRhPo8xEA,UCrnQFuUabBHaw-BRhPo8xEA,68400000,https://www.youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA
31,UC5gxP-2QqIh_09djvlm9Xcg,UC5gxP-2QqIh_09djvlm9Xcg,68300000,https://www.youtube.com/channel/UC5gxP-2QqIh_09djvlm9Xcg
32,canalkondzilla,canalkondzilla,67400000,https://www.youtube.com/@canalkondzilla
33,UCgFXm4TI8htWmCyJ6cVPG_A,UCgFXm4TI8htWmCyJ6cVPG_A,67200000,https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A
34,reinomariaelenawalsh,reinomariaelenawalsh,66900000,https://www.youtube.com/@reinomariaelenawalsh
35,infobellshindirhymes,infobellshindirhymes,66400000,https://www.youtube.com/@infobellshindirhymes
36,BHOJPURIWAVE,BHOJPURIWAVE,63500000,https://www.youtube.com/@BHOJPURIWAVE
37,eminemmusic,eminemmusic,63100000,https://www.youtube.com/@eminemmusic
38,yrf,yrf,62700000,https://www.youtube.com/@yrf
39,movieclips,movieclips,62700000,https://www.youtube.com/@movieclips
40,sonymusicindiasme,sonymusicindiasme,62600000,https://www.youtube.com/@sonymusicindiasme
41,UCe9JSDmyqNgA_l2BzGHq1Ug,UCe9JSDmyqNgA_l2BzGHq1Ug,62400000,https://www.youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug
42,UCL5nlHWXVLeOsSjKH2fhmsg,UCL5nlHWXVLeOsSjKH2fhmsg,61400000,https://www.youtube.com/channel/UCL5nlHWXVLeOsSjKH2fhmsg
43,corycotton,corycotton,60600000,https://www.youtube.com/@corycotton
44,taylorswift,taylorswift,60300000,https://www.youtube.com/@taylorswift
45,onemeeeliondollars,onemeeeliondollars,59800000,https://www.youtube.com/@onemeeeliondollars
46,UC4JCksJF76g_MdzPVBJoC3Q,UC4JCksJF76g_MdzPVBJoC3Q,59500000,https://www.youtube.com/channel/UC4JCksJF76g_MdzPVBJoC3Q
47,UC4NALVCmcmL5ntpV0thoH6w,UC4NALVCmcmL5ntpV0thoH6w,59200000,https://www.youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
48,UCoQm-PeHC-cbJclKJYJ8LzA,UCoQm-PeHC-cbJclKJYJ8LzA,59000000,https://www.youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
