Channel_Name,Display_Name,Title,Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments,YouTube_Channel_URL
mrbeast,mrbeast,MrBeast,332600000.0,United States,145500000.0,5200000.0,4800.0,https://www.youtube.com/@mrbeast
tseries,tseries,T-Series,279600000.0,India,87100.0,2200.0,115.0,https://www.youtube.com/@tseries
cocomelon,cocomelon,Cocomelon - Nursery Rhymes,186500000.0,Unknown,2100000.0,32500.0,0.0,https://www.youtube.com/@cocomelon
setindia,setindia,SET India,179400000.0,India,17000.0,277.0,5.0,https://www.youtube.com/@setindia
vladandniki,vladandniki,Vlad and Niki,128400000.0,Unknown,1500000.0,5100.0,0.0,https://www.youtube.com/@vladandniki
kidsdianashow,kidsdianashow,✿ Kids Diana Show,128400000.0,Unknown,1200000.0,3100.0,0.0,https://www.youtube.com/@kidsdianashow
likenastyaofficial,likenastyaofficial,Like Nastya,123100000.0,Unknown,9100000.0,19100.0,0.0,https://www.youtube.com/@likenastyaofficial
zeemusiccompany,zeemusiccompany,Zee Music Company,112400000.0,India,15100.0,457.0,6.0,https://www.youtube.com/@zeemusiccompany
pewdiepie,pewdiepie,PewDiePie,110400000.0,United States,2200000.0,128800.00000000001,5900.0,https://www.youtube.com/@pewdiepie
wwe,wwe,WWE,105500000.0,United States,226400.0,10600.0,264.0,https://www.youtube.com/@wwe
goldminestelefilms,goldminestelefilms,Goldmines,101600000.0,India,13800.0,146.0,8.0,https://www.youtube.com/@goldminestelefilms
stokestwins,stokestwins,Stokes Twins,99200000.0,United States,37900000.0,1100000.0,6400.0,https://www.youtube.com/@stokestwins
sonysab,sonysab,Sony SAB,97300000.0,India,27700.0,510.0,24.0,https://www.youtube.com/@sonysab
chuchutv,chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,94000000.0,Unknown,769700.0,15300.0,0.0,https://www.youtube.com/@chuchutv
zeetv,zeetv,Zee TV,85800000.0,India,6100.0,104.0,1.0,https://www.youtube.com/@zeetv
5minutecraftsyoutube,5minutecraftsyoutube,5-Minute Crafts,81100000.0,India,72500.0,477.0,20.0,https://www.youtube.com/@5minutecraftsyoutube
bts,bts,BANGTANTV,79300000.0,India,312900.0,90700.0,3500.0,https://www.youtube.com/@bts
pinkfong,pinkfong,Baby Shark - Pinkfong Kids’ Songs & Stories,79000000.0,Unknown,485200.0,2600.0,0.0,https://www.youtube.com/@pinkfong
